Geo Location,Facility,Address,Neighborhood,RC,PA,SP,HC,TC,BC,BF,,,
South,Devlin Playground,Devlin & Castell Streets,Arlington,,,,,,,X,,,
South,Eleanor Street Parklet,Sierra & Eleanor Streets,Southside Slopes,,X,,,,X,,,,
South,Grandview Avenue Overlook,Grandview Avenue & McArdle Roadway,Mount Washington,,,,,,,,,,
South,Grandview Park,Bailey Avenue,Allentown,,X,,X,,X,,,,
South,Hays Parklet,Hilburn Street & Mifflin Road,Hays,,X,,,,X,,,,
South,Leolyn Parklet,Leolyn & E. Cherryhill Streets,Carrick,,X,,,,X,,,,
South,Lincoln Place Parklet,Cox Avenue & Elwell Street,Lincoln Place,,X,,,,,,,,
South,Lodge Potenza Senior Citizens,122 Virginia Avenue,Mount Washington,X,,,,,,,,,
South,McBride Park,1785 McBride Street 15207,Lincoln Place,,X,X,X,X,X,X,,,
South,McKinley Park,900 Delmont Street 15210 (Cmty Cntr),Beltzhoover,X,X,,X,X,X,X,,,
South,Monongahela Playground,Josephine & Northview Streets,Southside Slopes,,X,,,,,X,,,
South,Moore Park,1801 Pioneer Avenue 15226,Brookline,,X,X,, ,X,X,,,
South,Mt. Washington Park,Norton & Ennis Streets,Mount Washington,,X,,,,X,X,,,
South,Oliver Bath House,10th & Bingham Streets,Southside Flats,,,X,,,,,,,
South,Olympia Park,Virginia & Olympia Streets,Mount Washington,,X,,,,X,X,,,
South,Ormsby Playground,79 S 22nd Street 15203,Southside Flats,X,X,X,X,,X,X,,,
South,Overbrook School Field,Route 51,Overbrook,,,,,,X,X,,,
South,Panorama Field,Brownwood & Panorama Streets,New Homestead,,,,,,,X,,,
South,Phillip Murray Playground,Mountain & Hunger Streets,Mr. Oliver Neighborhood,,X,,,,,X,,,
South,Phillips Park,201 Parkfield Street 15210,Carrick,X,X,X, ,X,X,X,,,
South,Ream Parklet,321 Merrimac Street 15211,Mount Washington,,X,X,,,,,,,
South,Revenue Street,Revenue Street,New Homestead,,X,,,,X,,,,
,Schenley Rink,10341 Overlook Drive 15213,Oakland,,,,,,,,,,
South,Shaler Parklet,Shaler & Greenleaf Streets,Duquesne Heights,,X,,X,,X,,,,
South,Southside Market House-Senior Ctr,1200 Bingham Street 15203,Southside Flats,X,,,,,,,,,
South,Southside Park,Arlington Avenue & Esop Way,Southside Slopes,,X,,, ,X,X,,,
South,Southside Riverfront Park,Monongahela River @ S. 18th Street,Southside Flats,,,,,,,,,,
South,Tropical Parklet,Tropical Street off Middletown Road,Beechview,,X,,X,,X,,,,
South,Vanucci Playground,Orangewood Street,Beechview,,X,X,,,,X,,,
South,Volunteers Field,Colerain Street,Carrick,,,,,,,X,,,
South,Warrington Playground,329 E. Warrington Avenue 15210,Beltzhoover,X,X,,,,X,X,,,
South,Winters Playground,St. Paul & Yard Way,Southside Slopes,,X,,,,X,X,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
